team_a,team_b,draw,loser,winner,total,winning_perc,losing_perc,draw_perc,team_a_txt,team_b_txt
Qatar,Argentina,0,2,0,2,0,100,0,Qatar,Argentina
Qatar,Australia,1,3,1,5,20,60,20,Qatar,Australia
Qatar,Belgium,0,1,0,1,0,100,0,Qatar,Belgium
Qatar,Brazil,0,1,0,1,0,100,0,Qatar,Brazil
Qatar,Canada,0,1,0,1,0,100,0,Qatar,Canada
Qatar,Costa Rica,1,0,0,1,0,0,100,Qatar,Costa_Rica
Qatar,Croatia,0,1,0,1,0,100,0,Qatar,Croatia
Qatar,Ecuador,1,1,1,3,33,33,33,Qatar,Ecuador
Qatar,Ghana,0,1,0,1,0,100,0,Qatar,Ghana
Qatar,Iran,4,15,3,22,14,68,18,Qatar,Iran
Qatar,Japan,3,2,2,7,29,29,43,Qatar,Japan
Qatar,Morocco,1,1,0,2,0,50,50,Qatar,Morocco
Qatar,Portugal,0,2,0,2,0,100,0,Qatar,Portugal
Qatar,Saudi Arabia,14,17,8,39,21,44,36,Qatar,Saudi_Arabia
Qatar,Serbia,0,2,1,3,33,67,0,Qatar,Serbia
Qatar,South Korea,1,6,3,10,30,60,10,Qatar,South_Korea
Qatar,Switzerland,0,0,1,1,100,0,0,Qatar,Switzerland
Qatar,Tunisia,0,1,2,3,67,33,0,Qatar,Tunisia
Qatar,United States,0,1,0,1,0,100,0,Qatar,United_States
Qatar,Wales,0,1,0,1,0,100,0,Qatar,Wales
Saudi Arabia,Argentina,2,2,0,4,0,50,50,Saudi_Arabia,Argentina
Saudi Arabia,Australia,3,5,2,10,20,50,30,Saudi_Arabia,Australia
Saudi Arabia,Belgium,0,2,1,3,33,67,0,Saudi_Arabia,Belgium
Saudi Arabia,Brazil,0,5,0,5,0,100,0,Saudi_Arabia,Brazil
Saudi Arabia,Cameroon,1,2,2,5,40,40,20,Saudi_Arabia,Cameroon
Saudi Arabia,Canada,0,0,1,1,100,0,0,Saudi_Arabia,Canada
Saudi Arabia,Costa Rica,0,3,1,4,25,75,0,Saudi_Arabia,Costa_Rica
Saudi Arabia,Denmark,0,3,0,3,0,100,0,Saudi_Arabia,Denmark
Saudi Arabia,Ecuador,1,0,0,1,0,0,100,Saudi_Arabia,Ecuador
